DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
233997,233997,UT,20:17:11 16-Sep-2022,Argos,2,63.6322,-10.9041,410,1323,126,98,,,,,,
233997,233997,UT,20:20:31 16-Sep-2022,Argos,B,63.6278,-10.9785,3029,17211,533,85,,,,,,
233997,233997,UT,20:43:42 16-Sep-2022,Argos,B,63.6388,-10.9909,3556,11011,1148,86,,,,,,
233997,233997,UT,20:54:41 16-Sep-2022,Argos,1,63.6858,-10.8980,528,824,337,94,,,,,,
233997,233997,UT,20:55:13 16-Sep-2022,Argos,2,63.6802,-10.8790,404,1385,117,98,,,,,,
233997,233997,UT,21:18:47 16-Sep-2022,Argos,0,63.6903,-10.8610,5196,90962,296,84,,,,,,
233997,233997,UT,21:43:32 16-Sep-2022,Argos,B,63.7000,-10.8920,6341,18106,2220,87,,,,,,
233997,233997,UT,22:04:14 16-Sep-2022,Argos,2,63.7160,-10.9558,395,1391,112,63,,,,,,
233997,233997,UT,22:09:03 16-Sep-2022,Argos,B,63.7198,-10.9638,559,1310,238,87,,,,,,
233997,233997,UT,22:22:46 16-Sep-2022,Argos,B,63.6600,-10.9349,639,8509,48,82,,,,,,
233997,233997,UT,22:34:54 16-Sep-2022,Argos,B,63.6665,-10.9414,1498,5866,382,85,,,,,,
233997,233997,UT,22:42:18 16-Sep-2022,Argos,B,63.6582,-10.9426,1658,5566,493,86,,,,,,
233997,233997,UT,22:54:19 16-Sep-2022,Argos,B,63.6371,-10.9670,745,10329,53,96,,,,,,
233997,233997,UT,18:42:48 17-Sep-2022,Argos,B,63.3031,-10.4834,16188,78714,3329,90,,,,,,
233997,233997,UT,19:08:08 17-Sep-2022,Argos,A,63.1233,-11.7313,14719,242070,895,73,,,,,,
233997,233997,UT,19:56:58 17-Sep-2022,Argos,B,63.0509,-12.0008,12178,238148,622,122,,,,,,
233997,233997,UT,20:22:43 17-Sep-2022,Argos,B,62.9736,-11.8761,15992,495751,515,95,,,,,,
233997,233997,UT,20:33:44 17-Sep-2022,Argos,B,62.9921,-12.0117,1957,16137,237,65,,,,,,
233997,233997,UT,20:46:00 17-Sep-2022,Argos,A,62.9630,-12.1111,512,1038,252,55,,,,,,
233997,233997,UT,20:55:26 17-Sep-2022,Argos,1,62.9609,-12.1421,752,8033,70,80,,,,,,
